+-----------------+-------------+----------------+------------------------+
| Количество эпох | Размер окна | Норма обучения |    Суммарная ошибка    |
|      20000      |      7      |      0,35      | 1,5244008793067254e-10 |
|      20000      |      7      |      0,4       | 2,1274382477101493e-11 |
|      20000      |      7      |      0,45      | 2,6208663233604868e-11 |
|      20000      |      7      |      0,5       | 1,0646304344848719e-11 |
|      20000      |      7      |      0,55      | 2,5201532986561508e-12 |
|      20000      |      7      |      0,6       | 1,0707177314446177e-12 |
|      20000      |      7      |      0,65      | 8,924357160213635e-13  |
|      20000      |      7      |      0,7       | 7,408771587127844e-13  |
|      20000      |      7      |      0,75      | 3,4754446991872336e-13 |
|      20000      |      7      |      0,8       |  2,15388588771618e-12  |
|      20000      |      7      |      0,85      | 3,693378359352895e-08  |
|      20000      |      7      |      0,9       |          nan           |
|      20000      |      7      |      0,95      |          nan           |
|      20000      |      7      |      1,0       |          nan           |
|      20000      |      8      |      0,05      |  0,09579168486827591   |
|      20000      |      8      |      0,1       | 0,0011783055137675584  |
|      20000      |      8      |      0,15      |  5,90018503775426e-06  |
|      20000      |      8      |      0,2       | 5,685425886359852e-07  |
|      20000      |      8      |      0,25      | 1,9247005957432444e-08 |
|      20000      |      8      |      0,3       |  3,94149201060089e-09  |
|      20000      |      8      |      0,35      | 4,008125056596599e-10  |
|      20000      |      8      |      0,4       | 1,3185827962274054e-10 |
|      20000      |      8      |      0,45      | 2,2762785359001196e-11 |
|      20000      |      8      |      0,5       | 1,2140856697560416e-11 |
|      20000      |      8      |      0,55      | 1,0006390102274826e-11 |
|      20000      |      8      |      0,6       | 5,347850168585271e-12  |
|      20000      |      8      |      0,65      | 2,8822758589399057e-12 |
|      20000      |      8      |      0,7       | 9,376246415137882e-13  |
|      20000      |      8      |      0,75      | 4,597678519438248e-13  |
|      20000      |      8      |      0,8       | 3,7953477891468403e-13 |
|      20000      |      8      |      0,85      |          nan           |
|      20000      |      8      |      0,9       |          nan           |
|      20000      |      8      |      0,95      |          nan           |
