+-----------------+-------------+----------------+------------------+
| Количество эпох | Размер окна | Норма обучения | Суммарная ошибка |
|      18000      |      2      |      0.1       |      2.6055      |
|      18000      |      2      |      0.15      |      2.2794      |
|      18000      |      2      |      0.2       |      1.7079      |
|      18000      |      2      |      0.25      |      1.6402      |
|      18000      |      2      |      0.3       |      1.3111      |
|      18000      |      2      |      0.35      |      1.0559      |
|      18000      |      2      |      0.4       |      0.9607      |
|      18000      |      2      |      0.45      |      1.0067      |
|      18000      |      2      |      0.5       |      0.9377      |
|      18000      |      2      |      0.55      |      0.7446      |
|      18000      |      2      |      0.6       |      0.7067      |
|      18000      |      2      |      0.65      |      0.6285      |
|      18000      |      2      |      0.7       |      0.5919      |
|      18000      |      2      |      0.75      |      0.5804      |
|      18000      |      2      |      0.8       |      0.4738      |
|      18000      |      2      |      0.85      |      0.4271      |
|      18000      |      2      |      0.9       |      0.4577      |
|      18000      |      2      |      0.95      |      0.439       |
|      18000      |      3      |      0.05      |      2.3886      |
|      18000      |      3      |      0.1       |      1.0459      |
|      18000      |      3      |      0.15      |      0.305       |
|      18000      |      3      |      0.2       |      0.1075      |
|      18000      |      3      |      0.25      |      0.0652      |
|      18000      |      3      |      0.3       |      0.0329      |
|      18000      |      3      |      0.35      |      0.0106      |
|      18000      |      3      |      0.4       |      0.0107      |
|      18000      |      3      |      0.45      |      0.0053      |
|      18000      |      3      |      0.5       |      0.0038      |
|      18000      |      3      |      0.55      |      0.0036      |
|      18000      |      3      |      0.6       |      0.0026      |
|      18000      |      3      |      0.65      |      0.0027      |
|      18000      |      3      |      0.7       |      0.0023      |
|      18000      |      3      |      0.75      |      0.0009      |
|      18000      |      3      |      0.8       |      0.001       |
|      18000      |      3      |      0.85      |      0.0008      |
|      18000      |      3      |      0.9       |      0.0008      |
|      18000      |      3      |      0.95      |      0.0008      |
|      18000      |      4      |      0.05      |      1.4595      |
|      18000      |      4      |      0.1       |      0.1086      |
|      18000      |      4      |      0.15      |      0.0104      |
